GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1206815174	20241029000000	20241029231500	1	thewhig.com	https://www.thewhig.com:443/news/local-news/100000-donation-to-the-grind-honours-memory-of-beverley-brown-fuels-critical-community-programs	24	-1	4676	4651	0	40	8060	2.39938080495356		
1206890980	20241029093000	20241029231500	1	cbc.ca	https://www.cbc.ca/news/canada/newfoundland-labrador/furey-state-of-the-province-oct-2024-1.7366861	12	-1	2278	2290	0	80	4187	0		
1207023745	20241029231500	20241029231500	1	cbc.ca	https://www.cbc.ca/news/canada/newfoundland-labrador/furey-state-of-the-province-oct-2024-1.7366861	13	-1	2496	2472	0	20	4187	0		
1206837212	20241029023000	20241029231500	1	cbc.ca	https://www.cbc.ca/news/canada/newfoundland-labrador/furey-state-of-the-province-oct-2024-1.7366861	13	-1	2475	2454	1	50	4187	0		
1207023746	20241029231500	20241029231500	1	ctvnews.ca	https://www.ctvnews.ca/canada/n-s-teen-charged-for-allegedly-making-threats-to-school-1.7091324	1	-1	61	97	1	100	2518	-8.25242718446603		
1206847925	20241029040000	20241029231500	1	stthomastimesjournal.com	https://www.stthomastimesjournal.com:443/news/local-news/man-charged-after-police-recover-200k-in-stolen-property/wcm/3db4abd9-f690-44c3-8567-481f01e7c176	2	-1	515	525	0	60	2514	-4.30379746835443		
1207007446	20241029210000	20241029231500	1	iheart.com	https://whyn.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	447	1	30	1435	-15.8119658119658		
1207007446	20241029210000	20241029231500	1	iheart.com	https://newstalk1049.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	447	1	30	1435	-15.8119658119658		
1207007446	20241029210000	20241029231500	1	iheart.com	https://koacolorado.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	447	1	30	1435	-15.8119658119658		
1207007446	20241029210000	20241029231500	1	iheart.com	https://1450wkip.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	447	1	30	1435	-15.8119658119658		
1207007447	20241029210000	20241029231500	1	iheart.com	https://whyn.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	492	1	30	1435	-15.8119658119658		
1207007447	20241029210000	20241029231500	1	iheart.com	https://newstalk1049.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	492	1	30	1435	-15.8119658119658		
1207007447	20241029210000	20241029231500	1	iheart.com	https://koacolorado.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	492	1	30	1435	-15.8119658119658		
1207007447	20241029210000	20241029231500	1	iheart.com	https://1450wkip.iheart.com/content/2024-10-29-paul-pelosi-attacker-david-depape-sentenced-to-life-in-prison/	4	-1	405	492	1	30	1435	-15.8119658119658		
1207023747	20241029231500	20241029231500	1	bbc.com	https://www.bbc.com/news/articles/c5yp47prg7jo	4	-1	819	892	1	100	9466	1.30841121495327		
